AR,MF,MT,PR,FPI,TPI,SE,GC
10,623.4793187,9.137665457,7.692307692,5330,910,24.31315896,2
10,593.0656934,9.137665457,6.666666667,5850,1050,28.01855231,2
14,638.6861314,9.920893925,10,4200,760,20.3382671,2
10,684.3065693,11.09573663,7.692307692,5850,1105,29.50290619,2
10,539.8418491,1.931963554,9.090909091,3905,162.8,4.468623277,2
12,547.4452555,6.918518132,8,4500,662.5,17.72649703,2
11,517.0316302,3.916142339,8.461538462,4018.181818,354.5454545,9.548803116,2
10,585.4622871,9.529279691,7.692307692,5005,949,25.33716883,2
12,608.2725061,9.398741613,9.230769231,4333.333333,780,20.86036767,2
12,593.0656934,10.18197008,9.230769231,4225,845,22.58042714,2
10,562.6520681,9.790355847,6.666666667,5550,1125,29.99966207,2
11,564.1727494,9.790355847,7.333333333,5059.090909,1022.727273,27.28705086,2
12,547.4452555,10.57358431,8,4500,1012.5,27.01110097,2
10,547.4452555,8.093360833,6.666666667,5400,930,24.82258719,2
14,538.3211679,9.790355847,10,3540,750,20.04511354,2
12,562.6520681,9.137665457,8,4625,875,23.36780211,2
13,586.9829684,10.12975485,8.666666667,4453.846154,895.3846154,23.91531235,2
13,562.6520681,9.790355847,8.666666667,4269.230769,865.3846154,23.11273057,2
13,577.8588808,10.31250816,8.666666667,4384.615385,911.5384615,24.34129806,2
15,562.6520681,9.137665457,10.71428571,3453.333333,653.3333333,17.48755294,2
13,568.7347932,7.114325249,8.666666667,4315.384615,628.8461538,16.83966041,2
20,506.3868613,8.223898911,13.33333333,2497.5,472.5,12.67487835,2
10,577.8588808,9.137665457,6.666666667,5700,1050,28.0143282,2
8,585.4622871,8.093360833,5.333333333,7218.75,1162.5,31.00077724,2
11,608.2725061,9.790355847,7.333333333,5454.545455,1022.727273,27.29930079,2
15,517.0316302,3.263451949,11.53846154,2946.666667,216.6666667,5.891231864,2
15,517.0316302,3.655066183,11.53846154,2946.666667,242.6666667,6.580945301,2
10,486.6180049,3.916142339,7.692307692,4160,390,10.48087321,2
10,547.4452555,5.221523118,6.666666667,5400,600,16.06853204,2
10,608.2725061,7.832284677,6.666666667,6000,900,24.04366045,2
12,577.8588808,10.18197008,9.230769231,4116.666667,845,22.57620303,2
8,661.4963504,11.09573663,6.153846154,7068.75,1381.25,36.82477528,2
8,638.6861314,5.221523118,5.714285714,7350,700,18.74662071,2
8,684.3065693,11.42208182,5.333333333,8437.5,1640.625,43.71166616,2
10,653.892944,9.790355847,7.692307692,5590,975,26.04589078,2
10,608.2725061,10.44304624,7.692307692,5200,1040,27.75750203,2
8,577.8588808,9.790355847,6.153846154,6175,1218.75,32.49083367,2
13,579.379562,9.202934496,10,3810,705,18.86278386,2
8,593.0656934,9.007127379,6.153846154,6337.5,1121.25,29.9086324,2
12,570.2554745,8.876589301,9.230769231,4062.5,736.6666667,19.70028499,2
15,517.0316302,9.137665457,11.53846154,2946.666667,606.6666667,16.23693341,2
15,547.4452555,9.137665457,11.53846154,3120,606.6666667,16.24538163,2
10,577.8588808,11.35681278,7.692307692,4940,1131,30.16305082,2
8,623.4793187,10.44304624,6.153846154,6662.5,1300,34.6588605,2
6,684.3065693,7.832284677,5,9000,1200,32.02301298,2
5,699.513382,4.568832729,3.846153846,11960,910,24.33427954,2
8,669.0997567,9.137665457,6.153846154,7150,1137.5,30.36082387,2
10,577.8588808,8.484975067,8.333333333,4560,780,20.85191944,2
10,517.0316302,7.832284677,7.692307692,4420,780,20.83502298,2
9,623.4793187,7.832284677,6.923076923,5922.222222,866.6666667,23.16363657,2
15,577.8588808,7.832284677,11.53846154,3293.333333,520,13.95478508,2
11,577.8588808,9.137665457,8.461538462,4490.909091,827.2727273,22.10594387,2
9,608.2725061,8.484975067,6.923076923,5777.777778,938.8888889,25.07528311,2
9,638.6861314,7.179594288,6.923076923,6066.666667,794.4444444,21.25199003,2
8,623.4793187,3.263451949,6.153846154,6662.5,406.25,10.94996114,2
10,600.6690998,3.655066183,7.692307692,5135,364,9.822840633,2
10,456.2043796,4.568832729,5.882352941,5100,595,15.91055015,3
12,319.3430657,5.221523118,7.058823529,2975,566.6666667,15.12092232,3
10,266.1192214,3.263451949,6.666666667,2625,375,10.02171195,3
12,258.5158151,4.568832729,7.5,2266.666667,466.6666667,12.45128188,3
12,228.1021898,4.438294651,7.058823529,2125,481.6666667,12.84074525,3
11,243.3090024,3.524528105,6.875,2327.272727,392.7272727,10.48563494,3
10,228.1021898,3.263451949,5.882352941,2550,425,11.33752366,3
10,228.1021898,3.524528105,5.882352941,2550,459,12.23945661,3
7,235.7055961,3.655066183,4.117647059,3764.285714,680,18.10413287,3
10,228.1021898,3.916142339,5.882352941,2550,510,13.59235604,3
10,243.3090024,3.916142339,5.882352941,2720,510,13.59658016,3
12,220.4987835,4.568832729,7.058823529,2054.166667,495.8333333,13.21443859,3
10,223.540146,4.829908884,5.882352941,2499,629,16.74785415,3
12,288.9294404,5.874213508,7.058823529,2691.666667,637.5,16.99150108,3
10,258.5158151,4.829908884,5.882352941,2890,629,16.75756961,3
8,255.4744526,4.529671305,4.705882353,3570,737.375,19.63163608,3
8,266.1192214,3.916142339,4.444444444,3937.5,675,17.9799439,3
10,253.9537713,3.916142339,5.882352941,2839,510,13.59953704,3
10,304.136253,5.221523118,5.882352941,3400,680,18.12314139,3
5,304.136253,4.568832729,2.941176471,6800,1190,31.65213571,3
